task;start-time;end-time;interaction-time;missclicks
PLACE;2023-08-10 15:58:28.464;2023-08-10 15:58:30.046;1581,9986;
CLICK_QUBOID;2023-08-10 15:58:34.198;2023-08-10 15:58:35.283;1085,0742;
PLACE_BACK;2023-08-10 15:59:00.740;2023-08-10 15:59:07.179;6439,5112;PLACE_CYLINDER
EDIT;2023-08-10 15:59:07.916;2023-08-10 15:59:10.038;2122,0278;PLACE_CYLINDER
CLICK_COLOR;2023-08-10 15:59:12.077;2023-08-10 15:59:17.296;5218,5136;PLACE_CYLINDER,EDIT_SIZE
COLOR_GREEN;2023-08-10 15:59:20.982;2023-08-10 15:59:22.450;1467,5428;PLACE_CYLINDER,EDIT_SIZE
COLOR_BACK;2023-08-10 15:59:43.168;2023-08-10 15:59:44.559;1391,001;PLACE_CYLINDER,EDIT_SIZE,COLOR_YELLOW
EDIT_SIZE;2023-08-10 15:59:46.894;2023-08-10 15:59:51.422;4528,031;PLACE_CYLINDER,EDIT_SIZE,COLOR_YELLOW
EDIT_SIZE;2023-08-10 15:59:46.894;2023-08-10 15:59:55.325;8431,1538;PLACE_CYLINDER,EDIT_SIZE,COLOR_YELLOW
EDIT_BACK;2023-08-10 15:59:57.215;2023-08-10 15:59:58.648;1432,9993;PLACE_CYLINDER,EDIT_SIZE,COLOR_YELLOW
PLACE2;2023-08-10 16:00:06.098;2023-08-10 16:00:07.545;1447,0005;PLACE_CYLINDER,EDIT_SIZE,COLOR_YELLOW
CLICK_SPHERE;2023-08-10 16:00:09.767;2023-08-10 16:00:17.857;8090,4234;PLACE_CYLINDER,EDIT_SIZE,COLOR_YELLOW,PLACE_CYLINDER
PLACE_BACK_2;2023-08-10 16:00:22.090;2023-08-10 16:00:23.530;1439,9997;PLACE_CYLINDER,EDIT_SIZE,COLOR_YELLOW,PLACE_CYLINDER
EDIT2;2023-08-10 16:00:25.312;2023-08-10 16:00:27.094;1781,9984;PLACE_CYLINDER,EDIT_SIZE,COLOR_YELLOW,PLACE_CYLINDER
CLICK_COLOR_2;2023-08-10 16:00:32.981;2023-08-10 16:00:37.062;4080,6225;PLACE_CYLINDER,EDIT_SIZE,COLOR_YELLOW,PLACE_CYLINDER,EDIT_SIZE
COLOR_YELLOW;2023-08-10 16:00:39.955;2023-08-10 16:00:41.022;1067,0016;PLACE_CYLINDER,EDIT_SIZE,COLOR_YELLOW,PLACE_CYLINDER,EDIT_SIZE
COLOR_YELLOW;2023-08-10 16:00:39.955;2023-08-10 16:00:47.661;7705,5054;PLACE_CYLINDER,EDIT_SIZE,COLOR_YELLOW,PLACE_CYLINDER,EDIT_SIZE
COLOR_YELLOW;2023-08-10 16:00:39.955;2023-08-10 16:00:52.906;12951,123;PLACE_CYLINDER,EDIT_SIZE,COLOR_YELLOW,PLACE_CYLINDER,EDIT_SIZE
